,bus_name,bus_type,bus_time,bus_cost,bus_company,bus_update,bus_length,line_x,sites_x_list,line_y,sites_y_list
1,成都1路公交车路线,常规线路,运行时间：昭觉寺公交站--高朋公交站 昭觉寺公交站06:00-23:00 高朋公交站06:00-24:00,票价信息：无人售票 主动刷卡 无卡投币 高档车2元,成都公交集团北星巴士有限公司,最后更新：2017-12-03,[],成都1路公交车路线(昭觉寺公交站—高朋公交站)共 29 站,"['昭觉寺公交站', '昭觉横路', '地铁昭觉寺南路站', '驷马桥', '高笋塘', '解放北路一段', '梁家巷', '簸箕街', '北大街', '省市政务中心', '锣锅巷', '市青少年宫', '顺城大街南', '盐市口', '大业路', '新光华街', '红照壁', '南大街', '浆洗街', '武侯祠大街', '武侯祠', '高升桥', '高升桥路东段', '地铁红牌楼站', '佳灵路', '地铁太平园站', '武阳大道三段', '董家湾南街口', '高朋公交站']",成都1路公交车路线(高朋公交站—昭觉寺公交站)共 26 站,"['高朋公交站', '董家湾南街中', '长益路西', '佳灵路高新路口', '佳灵路', '红牌楼', '高升桥路东段', '高升桥', '武侯祠', '武侯祠大街中', '浆洗街', '南大街', '大业路', '顺城大街南', '市青少年宫', '锣锅巷', '省市政务中心', '北大街', '簸箕街', '梁家巷', '解放北路一段', '高笋塘', '驷马桥', '地铁昭觉寺南路站', '昭觉横路', '昭觉寺公交站']"
10,成都10路公交车路线,常规线路,运行时间：地铁衣冠庙站--映月花园 地铁衣冠庙站06:40-23:00 映月花园06:10-22:30,票价信息：无人售票 主动刷卡 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-04,[],成都10路公交车路线(地铁衣冠庙站—映月花园)共 28 站,"['地铁衣冠庙站', '一环路南四段', '高升桥东路北', '肖家河', '高升桥东路南', '红牌楼东', '地铁红牌楼站', '佳灵路', '地铁太平园站', '太平园', '三环路川藏立交桥南', '南桥村', '地铁簇锦站', '川藏路中段', '川藏路华兴路口', '簇桥', '福锦路二段', '福锦路二段北', '百锦路', '百锦路武侯大道口', '武侯大道铁佛段中', '七里大道东', '七里大道中', '七里大道', '七里大道西', '金凤街', '金凤街中', '映月花园']",成都10路公交车路线(映月花园—地铁衣冠庙站)共 26 站,"['映月花园', '金凤街', '七里大道西', '七里大道', '七里大道金兴南路口', '七里大道中', '七里大道东', '武侯大道七里大道路口', '百锦路武侯大道口', '百锦路', '福锦路二段北', '福锦路二段', '簇桥', '川藏路华兴路口', '川藏路中段', '地铁簇锦站', '南桥村', '三环路川藏立交桥南', '太平园', '佳灵路高新路口', '佳灵路', '二环董家湾北街口', '红牌楼东', '永丰立交西', '永丰路', '地铁衣冠庙站']"
100,成都100路公交车路线,常规线路,运行时间：石羊场中心站--九里堤公交站 06:30-22:00,票价信息：无人售票 主动刷卡 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-03,[],成都100路公交车路线(石羊场公交站—九里堤公交站)共 32 站,"['石羊场公交站', '仁和街', '大件路三环路口', '成雅路新乐路口', '高棚子', '九兴大道创业路口', '九兴大道', '长益路', '长益路西', '佳灵路', '红牌楼', '红牌楼西', '二环武侯大道口', '二环少陵路口', '清水河', '龙爪村', '青羊大道草金路口', '青羊大道光华', '青羊大道家园路口', '光华大道口', '新文化宫', '青羊大道南', '金沙遗址东门', '黄忠小区', '一品天下大街', '一品天下大街中', '一品天下大街北', '茶店子路口', '花照壁中横街口', '长庆路口', '星河路西', '九里堤公交站']",成都100路公交车路线(九里堤公交站—石羊场公交站)共 32 站,"['九里堤公交站', '一品天下交大路口', '一品天下长庆路口', '花照壁中横街口', '茶店子路口', '一品天下大街北', '一品天下大街中', '一品天下大街', '同和路蜀汉路口', '黄忠小区', '金沙遗址东门', '青羊大道南', '新文化宫', '光华大道口', '青羊大道家园路口', '青羊大道光华', '青羊大道草金路口', '龙爪村', '龙腾中路龙欣路口', '二环龙腾路口', '二环少陵路口', '二环武侯大道口', '红牌楼西', '红牌楼', '红牌楼东', '永丰立交西', '创业路二环路口南', '高棚子', '成雅路新乐路口', '大件路三环路口', '益园二路', '石羊场公交站']"
1001,成都1001路公交车路线,社区巴士,运行时间：跳蹬河北路中--跳蹬河北路中(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1001路公交车路线(跳蹬河北路中—跳蹬河北路中)共 8 站,"['跳蹬河北路中', '杉板桥南一路中', '东篱路口', '万年场', '二环双林北支路口', '东秀一路西', '东秀一路中', '跳蹬河北路中']",[],[]
1002,成都1002路公交车路线,社区巴士,运行时间：郭家桥--郭家桥(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1002路公交车路线(郭家桥—郭家桥)共 8 站,"['郭家桥', '郭家桥北街东', '郭家桥北街', '郭家桥西街北', '郭家桥西街', '科华路二环路口', '科华街', '郭家桥']",[],[]
1003,成都1003路公交车路线,社区巴士,运行时间：石人南路--石人南路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1003路公交车路线(石人南路—石人南路)共 16 站,"['石人南路', '罗家碾街', '二环府南新区', '清溪东路西', '清溪东路', '磨底河沿街北', '磨底河沿街南', '文华路口', '文华路', '银杏路北', '百寿路银杏路口', '百寿路', '大庆路', '地铁草堂北路站', '石人南路南', '石人南路']",[],[]
1004,成都1004路公交车路线,社区巴士,运行时间：金沙路--金沙路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团北星巴士有限公司,最后更新：2017-12-04,[],成都1004路公交车路线(金沙路—金沙路)共 14 站,"['金沙路', '为民路口', '为民路北', '营门口北', '金沙横街', '金沙北二路', '金沙路中', '为民路南', '光荣北路', '光荣北路沙湾路口', '沙湾路', '西门车站', '金沙路西', '金沙路']",[],[]
1005,成都1005路公交车路线,社区巴士,运行时间：地铁万年场站--地铁万年场站(单循环) 06:30-23:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-03,[],成都1005路公交车路线(地铁万年场站—地铁万年场站)共 18 站,"['地铁万年场站', '双福二路', '地铁双桥路站', '二环万年场', '万年场', '东秀二路二环路口', '杉板桥南一路中', '东篱路口', '万年场公交宿舍', '积步街北', '积步街', '联合小区', '双成二路北', '双福三路西', '双福三路中', '双福三路东', '双成五路', '地铁万年场站']",[],[]
1006,成都1006路公交车路线,社区巴士,运行时间：玉林街--玉林街(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-04,[],成都1006路公交车路线(玉林街—玉林街)共 16 站,"['玉林街', '倪家桥路西', '芳草东街口', '玉林南路', '二环玉林南路口', '二环紫荆北路口', '二环神仙树路口', '芳草街', '芳草西二街', '永丰路', '地铁衣冠庙站', '芳草街北', '玉林西路', '玉林西路东', '玉林东路', '玉林街']",[],[]
1007,成都1007路公交车路线,社区巴士,运行时间：武晋路南--武晋路南(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-03,[],成都1007路公交车路线(武晋路南—武晋路南)共 9 站,"['武晋路南', '太平园东四街口', '武侯大道太平巷口', '太平村', '武阳大道武侯大道口', '太平园东五街', '太平园横一街', '太平园东三街西', '武晋路南']",[],[]
1008,成都1008路公交车路线,社区巴士,运行时间：金鱼街--金鱼街(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1008路公交车路线(金鱼街—金鱼街)共 8 站,"['金鱼街', '金琴路', '抚琴西路西', '二环蜀汉路口', '二环蜀汉路口北', '营门口立交桥东', '金鱼街北', '金鱼街']",[],[]
1009,成都1009路公交车路线,社区巴士,运行时间：新鸿北支路--新鸿北支路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1009路公交车路线(新鸿北支路—新鸿北支路)共 13 站,"['新鸿北支路', '麻石桥', '二环双林北支路口', '双林北支路东', '双林北支路', '新华公园1', '双林北支路西', '双林路一环路口西', '猛追湾街', '新鸿南一巷口', '新鸿路一环路口', '新鸿路', '新鸿北支路']",[],[]
101,成都101路公交车路线,常规线路,运行时间：九里堤公交站--成都东客站(东广场) 06:30-22:00,票价信息：无人售票 主动刷卡 无卡投币 高档车2元,成都公交集团北星巴士有限公司,最后更新：2017-12-03,[],成都101路公交车路线(九里堤公交站—成都东客站(东广场))共 29 站,"['九里堤公交站', '交大路西', '西南交大', '营门口北', '营门口立交桥东', '西门车站', '花牌坊街', '同心路', '江汉路西', '江汉路东', '德盛路', '玉沙路', '红星路口', '游泳池', '双林路一环路口东', '新华公园', '双林路东', '万年场', '联合小区', '双庆路口', '多宝寺', '槐树店路', '成洛路建材路口', '建材路北', '建材路', '建材路南', '迎晖路中', '邛崃山路', '成都东客站(东广场)']",成都101路公交车路线(成都东客站(东广场)—九里堤公交站)共 27 站,"['成都东客站(东广场)', '邛崃山路岷江路口', '邛崃山路中', '建材路迎晖路口', '建材路南', '建材路', '成洛路建材路口', '槐树店路', '多宝寺', '双庆路口', '联合小区', '万年场', '双林路东', '新华公园', '双林路一环路口西', '游泳池', '红星路口', '玉沙路', '文武路东', '江汉路东', '江汉路西', '通锦桥', '沙湾路', '会展中心', '西南交大', '交大路西', '九里堤公交站']"
1010,成都1010路公交车路线,社区巴士,运行时间：踏水桥北街--踏水桥北街(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1010路公交车路线(踏水桥北街—踏水桥北街)共 12 站,"['踏水桥北街', '二环桃蹊路口', '二环建设北路口', '建设路东', '建设路中', '一环路建设路口北', '建设北路二段西', '建设北路二段', '秀苑东路', '秀苑东路北', '踏水桥北街西', '踏水桥北街']",[],[]
1011,成都1011路公交车路线,社区巴士,运行时间：高升桥南街北--高升桥南街北(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1011路公交车路线(高升桥南街北—高升桥南街北)共 17 站,"['高升桥南街北', '高升桥北街', '高升桥北街东', '肖家河', '肖家河北街', '肖家河街', '肖家河街南', '肖家河沿街', '肖家河沿街西', '广福桥街', '红牌楼北二街二环路口', '长城东一路', '董家湾东街', '长城西一路', '红牌楼', '高升桥路东段', '高升桥南街北']",[],[]
1012,成都1012路公交车路线,社区巴士,运行时间：西林四街--西林四街(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团北星巴士有限公司,最后更新：2017-12-05,[],成都1012路公交车路线(西林四街—西林四街)共 8 站,"['西林四街', '西林路东', '西林路西', '驷马桥', '地铁昭觉寺南路站', '昭觉横路', '昭觉横路东', '西林四街']",[],[]
1013,成都1013路公交车路线,社区巴士,运行时间：圣灯路南--圣灯路南(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-03,[],成都1013路公交车路线(圣灯路南—圣灯路南)共 16 站,"['圣灯路南', '东郊记忆北大门', '建设南路', 'SM广场', '二环东二段南', '建兴路西', '建业路', '建业路中', '建业路北', '建设北路三段', '建设北路三段东', '地铁二仙桥站', '文德路', '圣灯路北', '圣灯路', '圣灯路南']",[],[]
1014,成都1014路公交车路线,社区巴士,运行时间：川师西环线北--川师西环线北(单循环)07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1014路公交车路线(川师西环线北—川师西环线北)共 12 站,"['川师西环线北', '菱窠路西', '菱窠路', '菱窠路东', '菱窠路锦绣大道口', '锦绣大道菱窠东路口', '锦绣大道菱窠路口', '川师南大门', '菱安路南', '菱安路中', '川师大附中', '川师西环线北']",[],[]
