,adcode,address,adname,alias,biz_ext,biz_type,business_area,children,citycode,cityname,discount_num,distance,email,entr_location,event,exit_location,gridcode,groupbuy_num,id,importance,indoor_data,indoor_map,line_count,location,match,name,navi_poiid,pcode,photos,pname,poiweight,postcode,query_name,recommend,shopid,shopinfo,tag,tel,timestamp,type,typecode,website
B001C8MIHU,510114,木兰镇木兰街299号,新都区,[],"{'rating': [], 'cost': [], 'meal_ordering': '0'}",[],[],[],028,成都市,0,[],[],[],[],[],4604018621,0,B001C8MIHU,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,2,"104.204838,30.739261",0,中塑·成都国际贸易中心,H48F016018_116707,510000,"[{'title': '中塑·成都国际贸易中心外观图', 'url': 'http://store.is.autonavi.com/showpic/5b73e00def8ca96e509abad7d875a889'}, {'title': '中塑成都国际贸易中心实景图', 'url': 'http://store.is.autonavi.com/showpic/dc882708d21362f513fede811e5bc6b9'}, {'title': '沿街透视图', 'url': 'http://store.is.autonavi.com/showpic/3ebbcaad16898cf7a79f1f799f89fc96'}]",四川省,[],[],中塑成都国际贸易中心(公交站),3,[],0,[],028-83039988,[],公司企业;公司;商业贸易|餐饮服务;中餐厅;综合酒楼,170207|050101,[]
B001C8O2OB,510116,航空港物流园区,双流区,[],"{'rating': '3.0', 'cost': []}",[],[],[],028,成都市,0,[],[],"103.971147,30.543456",[],[],4503675702,0,B001C8O2OB,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"103.973026,30.542350",0,会缘汽车汽配城,H48F018016_17154,510000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/cdd32c9e4b773dbc8335ea9ad9055701'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/14af4951940c7be2a6fb0638bee12fef'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4711a16c94cc65695a5fd8795b549fdf'}]",四川省,[],[],会缘汽配城(公交站),0,[],0,[],[],[],汽车服务;汽车配件销售;汽车配件销售,010800,[]
B001D080GU,610103,东大街446号,碑林区,[],"{'rating': '4.0', 'cost': []}",[],[],"[{'id': ' B0FFH1UGC0 ', 'name': ' 骡马市商业步行街(出入口) ', 'sname': ' 出入口 ', 'location': '108.950383,34.259298', 'address': ' 东大街与骡马市步行街交叉口东50米 ', 'distance': ' 0 ', 'subtype': '门'}]",029,西安市,0,[],[],"108.950215,34.255953",[],[],5108370620,0,B001D080GU,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,5,"108.9502393,34.25787381",0,骡马市,I49F021008_92379;348877;76747,610000,"[{'title': '外景图', 'url': 'http://store.is.autonavi.com/showpic/49d49c7f50b0e6842bfe1b2016ba23ad'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9fa50b3e02aa1e3ee59e8c34e662bf72'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/184f0333503b11fa78a01f327dcebe42'}]",陕西省,[],[],骡马市(公交站),3,[],0,[],[],[],购物服务;特色商业街;步行街,061001,[]
B0FFG23S9S,510107,云店村老双中路富达家具南10米,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504603221,0,B0FFG23S9S,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"104.030729,30.532651",0,成都绿洲宏运暖通技术服务有限公司,[],510000,[],四川省,[],[],云店村(公交站),0,[],0,[],028-85796863;18080447291,[],公司企业;公司;公司,170200,[]
B0FFG2CEPQ,510113,大同镇,青白江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4604224222,0,B0FFG2CEPQ,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"104.287019,30.873407",0,青白江区工业集中发展区,[],510000,[],四川省,[],[],青白江工业集中发展区南区(公交站),0,[],0,[],[],[],商务住宅;产业园区;产业园区,120100,[]
B0FFGIOVVS,510105,太升路街道太升南路153号2层A1,青羊区,[],"{'rating': [], 'cost': []}",[],太升路,[],028,成都市,0,[],[],[],[],[],4504709620,0,B0FFGIOVVS,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"104.078746,30.666038",0,飞扬科技,[],510000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ae80347ead25ab4f7dc969b9e1e9bd21'}]",四川省,[],[],四川飞扬科技(公交站),0,[],0,[],13982267875;13551280256,[],购物服务;家电电子卖场;数码电子,060306,[]
B0FFH7P5G9,510116,西航港大道一段1933号,双流区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4503675800,0,B0FFH7P5G9,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"103.978620,30.544049",0,成都市岷江自来水厂文星分厂客户营业厅,[],510000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4074cf07b8b368abec65b9fadb913a9d'}]",四川省,[],[],文星水厂(公交站),0,[],0,[],[],[],生活服务;生活服务场所;生活服务场所,070000,[]
B0FFHDLBL6,511302,丝绸路309号(西山正大门桥头红牌楼公交站台),顺庆区,[],"{'rating': '3.5', 'cost': '84.00', 'meal_ordering': '0'}",diner,[],[],0817,南充市,0,[],[],[],[],[],4606105521,0,B0FFHDLBL6,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,11,"106.068059,30.798506",0,花甜潮汕牛肉火锅(西山店),H48F015033_190419,510000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6f0e86e0ce3cbef1a3da5c0751484128'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5bf6bc9c07f5be5923c12c8ebb11859b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/92763a75671346d784e62210f5c5380b'}]",四川省,[],[],红牌楼(公交站),0,[],0,"冷吃牛肉,手打牛肉丸,香蕉牛奶,吊龙,嫩牛肉,嫩肉,潮汕粿肉,炸豆皮,红烧巴骨肉,红烧牛腩,肥拼,脚趾肉,花甜清汤锅,花甜牛骨原汤锅,骨汤鸳鸯锅",0817-2818899,[],餐饮服务;中餐厅;火锅店,050117,[]
BV10000687,110108,333路内环;333路外环;362路;393路;437路;438路;476路;509路;636路;651路;运通108路;运通114路;运通118路,海淀区,[],"{'rating': [], 'cost': []}",[],马连洼,[],010,北京市,0,[],[],[],[],[],6016022202,0,BV10000687,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,5,"116.284256,40.019234",0,肖家河(公交站),[],110000,[],北京市,[],[],肖家河(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10001740,110119,880路;880路区间;Y04路;Y44路;Y46路,延庆区,[],"{'rating': [], 'cost': []}",[],康庄,[],010,北京市,0,[],[],[],[],[],6015474212,0,BV10001740,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"115.908890,40.370358",0,康庄小区(公交站),[],110000,[],北京市,[],[],康庄小区(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
