,address,detail,detail_info,line_count,location,name,query_name,street_id,telephone,uid
001523243e1ddf82cf06a4a2,45路;53路,0,,2,"{'lat': 30.642505, 'lng': 104.016242}",晋吉南路南,晋吉南路南,,,001523243e1ddf82cf06a4a2
003567700ebafbe2b33c81c4,249路,0,,1,"{'lat': 30.628103, 'lng': 104.039124}",长益东二路,长益东二路,,,003567700ebafbe2b33c81c4
006b6112651d69efd92f28d3,1058路,0,,1,"{'lat': 30.599297, 'lng': 104.082221}",天长路,天长路,,,006b6112651d69efd92f28d3
009289791790bc4a2fe67bd2,8路;61路;1124路,0,,2,"{'lat': 30.642863, 'lng': 104.067349}",电信南街东,电信南街东,,,009289791790bc4a2fe67bd2
00a1b9e486e315b324e0a05b,29路,0,,1,"{'lat': 30.719467, 'lng': 103.974304}",土龙路it大道口,土龙路IT大道口,,,00a1b9e486e315b324e0a05b
00a305bd19719a7c901fc974,1041路,0,,1,"{'lat': 30.653239, 'lng': 103.976763}",九金街,九金街,,,00a305bd19719a7c901fc974
00b0649989e374b6774ff1eb,27路,0,,1,"{'lat': 30.692191, 'lng': 104.065796}",一环路九里堤路口西,一环路九里堤路口西,,,00b0649989e374b6774ff1eb
00b0a79211ca474c97031961,853b路,0,,1,"{'lat': 30.681605, 'lng': 104.349201}",大包村五组,大包五组,,,00b0a79211ca474c97031961
00bbaa5adf088fd19d9d68e3,四川省成都市新都区木兰镇江西社区三木路中国移动旁,1,"{'tag': '政府机构;各级政府', 'navi_location': {'lng': 104.1911444559, 'lat': 30.770545292392}, 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=00bbaa5adf088fd19d9d68e3&output=html&source=placeapi_v2', 'image_num': '1'}",1,"{'lat': 30.770496, 'lng': 104.191242}",成都市新都区木兰镇江西社区居民委员会,江西社区,,,00bbaa5adf088fd19d9d68e3
00d1942c6c3b0e5e08ccdd86,20路;106路;341路;1033路,0,,4,"{'lat': 30.662226, 'lng': 104.09937}",天祥寺,天祥寺,,,00d1942c6c3b0e5e08ccdd86
00d35cd90b044c8145e27457,152路;172路;432路,0,,1,"{'lat': 30.612631, 'lng': 104.101598}",琉璃路沙河大桥,琉璃路沙河大桥,,,00d35cd90b044c8145e27457
00d36602846bbc1387330401,x01路;x02路;x02区间;x03路;x05路;x06路;x11a路;x11b路;x13路;x40路;x41a路;x41路;x43路;x44a路;x44b路;x45路;新都k9路,0,,1,"{'lat': 30.827317, 'lng': 104.182122}",金光路,金光路,,,00d36602846bbc1387330401
00f1c7fbe635fe1ec056ac18,成都市龙泉驿区茶石路,1,"{'tag': '行政地标;村庄', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=00f1c7fbe635fe1ec056ac18&output=html&source=placeapi_v2', 'overall_rating': '0', 'image_num': '1'}",1,"{'lat': 30.505502, 'lng': 104.385006}",三元店,三元店,,,00f1c7fbe635fe1ec056ac18
00fe74f9be5e9e7df4e73be8,双流区临港路四段9号,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 103.99628297007, 'lat': 30.573630863721}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=00fe74f9be5e9e7df4e73be8&output=html&source=placeapi_v2', 'price': '6907.0', 'overall_rating': '4.6'}",3,"{'lat': 30.572522, 'lng': 103.996329}",和贵久居福,久居福,00fe74f9be5e9e7df4e73be8,,00fe74f9be5e9e7df4e73be8
010128c5362fd891a1d230ec,858路;869路;l025a路;l025b路;l026路,0,,1,"{'lat': 30.6613, 'lng': 104.234109}",西河大道,西河大道,,,010128c5362fd891a1d230ec
012595c3592dcc7054bfffb7,成都市双流区天威路188号,1,"{'tag': '公司企业;公司', 'navi_location': {'lng': 103.97196161968, 'lat': 30.520354613675}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=012595c3592dcc7054bfffb7&output=html&source=placeapi_v2'}",3,"{'lat': 30.521055, 'lng': 103.970461}",海蓉特种纺织品公司,海蓉集团,012595c3592dcc7054bfffb7,,012595c3592dcc7054bfffb7
015025f1e3255356e31103ca,116路;183路;231路;710a路;720a路;720路;723路;g173路,0,,6,"{'lat': 30.745494, 'lng': 103.993122}",成都公交保修公司,成都公交保修公司,,,015025f1e3255356e31103ca
01763bd0d7ae878dca291575,鞋都南路139号,1,"{'tag': '公司企业;园区', 'navi_location': {'lng': 103.99012751122, 'lat': 30.605007734682}, 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=01763bd0d7ae878dca291575&output=html&source=placeapi_v2', 'price': '0', 'overall_rating': '3.8', 'comment_num': '4'}",1,"{'lat': 30.604769, 'lng': 103.989286}",中国女鞋之都,女鞋之都,01763bd0d7ae878dca291575,,01763bd0d7ae878dca291575
018d9748f76a80e4c26c14ad,834路,0,,1,"{'lat': 30.345709, 'lng': 104.020211}",红卫路口,红卫路口,,,018d9748f76a80e4c26c14ad
019d42699c3cffa4ae0457de,1路;10路;57路;92路;201路;213路;306路;335路;368a路;368路;802路;848路;1034路,0,,11,"{'lat': 30.641305, 'lng': 104.036644}",地铁红牌楼站,地铁红牌楼站,,,019d42699c3cffa4ae0457de
01a590aed247bc57744ff1cc,1077路,0,,1,"{'lat': 30.614301, 'lng': 104.139935}",水杉街海桐街口,水杉街海桐街口,,,01a590aed247bc57744ff1cc
01d4b52cd545dd052902e141,162路;187路;188路,0,,3,"{'lat': 30.596176, 'lng': 104.060812}",成汉中路一医院,成汉中路一医院,,,01d4b52cd545dd052902e141
01fd2564de3c9087f8dc85d3,124路;187路;220路;523路,0,,1,"{'lat': 30.587425, 'lng': 104.039767}",仁和街口,仁和街口,,,01fd2564de3c9087f8dc85d3
0201802d9f0580f47bb55c35,60路;85路;87路,0,,2,"{'lat': 30.72191, 'lng': 104.171204}",北湖印象三期,北湖印象三期,,,0201802d9f0580f47bb55c35
02402743319a87be0782c21a,84路;g29路,0,,1,"{'lat': 30.582434, 'lng': 104.06116}",成汉南路锦城大道口,成汉南路锦城大道口,,,02402743319a87be0782c21
026c9e89bde796b445e27407,1083路;1117路,0,,3,"{'lat': 30.628774, 'lng': 104.126026}",静和路,静和路,,,026c9e89bde796b445e27407
02961d87119161fdadee7a5e,857路;889路,0,,2,"{'lat': 30.661498, 'lng': 104.192004}",三五四厂,三五四厂,,,02961d87119161fdadee7a5e
02b859b19abd8aa5ad31e57b,25路;100路;215路;1080路,0,,4,"{'lat': 30.704043, 'lng': 104.039816}",茶店子路口,茶店子路口,,,02b859b19abd8aa5ad31e57b
02cecfbaa37c0765715e80d8,708路;716路;725路;p03路,0,,2,"{'lat': 30.790761, 'lng': 103.904451}",中信大道南北大道口,中信大道南北大道口,,,02cecfbaa37c0765715e80d8
02f02696829029efebe5826c,97路;887路;888路,0,,3,"{'lat': 30.656238, 'lng': 104.191106}",成都大学后门,成都大学后门,,,02f02696829029efebe5826c
031426239ff04720d42ce246,25路;244路,0,,1,"{'lat': 30.710084, 'lng': 104.044551}",长庆东一路,长庆东一路,,,031426239ff04720d42ce246
0323fc71c8588e996fc02c04,601路;1060路,0,,1,"{'lat': 30.723143, 'lng': 104.179942}",龙青路口,龙青路口,,,0323fc71c8588e996fc02c04
03568bfc70077b605d17c378,544路;813路;815路;t203路;t204路;t207路,0,,3,"{'lat': 30.532522, 'lng': 104.053592}",华府大道一段西,华府大道一段西,,,03568bfc70077b605d17c378
0356ca7745e34f1986420e1b,654路,0,,1,"{'lat': 30.7113, 'lng': 104.235786}",通顺村,通顺村,,,0356ca7745e34f1986420e1b
03c1828a276317ba38221c9f,13路;736路,0,,1,"{'lat': 30.695619, 'lng': 103.986796}",金辉路中,金辉路中,,,03c1828a276317ba38221c9f
03f55269c7796881b11e36f1,1133路,0,,1,"{'lat': 30.711328, 'lng': 104.169986}",火神庙路,火神庙路,,,03f55269c7796881b11e36f1
03f7ea4a58dec781deee8b28,170路;215路;1118路,0,,3,"{'lat': 30.671338, 'lng': 104.002901}",玉宇路东,玉宇路东,,,03f7ea4a58dec781deee8b28
04227cd68e6c39b6cb213de9,100路;111路;151路,0,,1,"{'lat': 30.657018, 'lng': 104.028151}",二环龙腾路口,二环龙腾路口,,,04227cd68e6c39b6cb213de9
042bee157a0f03fb0782c281,1075路,0,,1,"{'lat': 30.661877, 'lng': 104.042171}",望仙场街西,望仙场街西,,,042bee157a0f03fb0782c281
04343d6183f0eae16e20b92e,860路,0,,1,"{'lat': 30.616915, 'lng': 104.253061}",双龙路龙兴路口,双龙路龙兴路口,,,04343d6183f0eae16e20b92e
044e3145049692def7b91679,1014路;1042路,0,,2,"{'lat': 30.618104, 'lng': 104.125974}",菱安路中,菱安路中,,,044e3145049692def7b91679
054e9007b62cfeac601c67cd,245路;530路,0,,2,"{'lat': 30.74025, 'lng': 104.058493}",古柏三队,古柏三队,,,054e9007b62cfeac601c67cd
0553fc042407fd57dd1e5247,10路;41路,0,,2,"{'lat': 30.612506, 'lng': 104.004534}",福锦路二段,福锦路二段,,,0553fc042407fd57dd1e5247
05ad6d42985c8d6f990050ef,871路,0,,1,"{'lat': 30.577678, 'lng': 104.241691}",大连路北泉路口,大连路北泉路口,,,05ad6d42985c8d6f990050ef
06083aaa5c159b0314c90503,510路;551路;571路;g121路;t208路;t39路;t45路;t6路,0,,3,"{'lat': 30.492457, 'lng': 104.085863}",麓山大道梓州大道口,麓山大道梓州大道口,,,06083aaa5c159b0314c90503
060c1583af6ae84725e0a01d,四川省成都市武侯区一环路南四段16号(近武侯祠),1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 104.0550554327, 'lat': 30.642624107228}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=060c1583af6ae84725e0a01d&output=html&source=placeapi_v2', 'overall_rating': '5', 'comment_num': '8'}",9,"{'lat': 30.645526, 'lng': 104.056064}",西南民族大学,西南民族大学,060c1583af6ae84725e0a01d,,060c1583af6ae84725e0a01d
060f5e537f4f54aa081cc74a,四川省成都市双流区双华路三段458号,1,"{'tag': '公司企业;公司', 'navi_location': {'lng': 103.98916958338, 'lat': 30.536573370891}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=060f5e537f4f54aa081cc74a&output=html&source=placeapi_v2', 'price': '0'}",5,"{'lat': 30.53495, 'lng': 103.987609}",恩威集团,恩威集团,060f5e537f4f54aa081cc74a,,060f5e537f4f54aa081cc74a
060f968b3ba822ffae080fd6,1038路,0,,1,"{'lat': 30.702445, 'lng': 104.015208}",蜀辉路蜀汉路口,蜀辉路蜀汉路口,,,060f968b3ba822ffae080fd6
062b92f87341143d83a00c93,124路;139路;195路;240a路;240b路;241路,0,,6,"{'lat': 30.545415, 'lng': 104.110884}",应龙公交站,应龙公交站,,,062b92f87341143d83a00c93
064b3b080188449308ccdd05,四川省成都市龙泉驿区友谊西路现代新居B区十陵现代新居,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 104.17542540573, 'lat': 30.665935367955}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=064b3b080188449308ccdd05&output=html&source=placeapi_v2'}",3,"{'lat': 30.666476, 'lng': 104.175329}",现代新居-B区,现代新居B区,064b3b080188449308ccdd05,,064b3b080188449308ccdd05
064cc7daaa11467db020a818,27路;72路;342路,0,,1,"{'lat': 30.668308, 'lng': 104.108881}",一环路新鸿路口北,一环路新鸿路口北,,,064cc7daaa11467db020a818
