house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
2412户,恒大地产集团成都有限公司,http://hengdaxincheng028.fang.com/,10959,0套,恒大新城,凤翔大道1001号（政同通西路旁）,2016年建成,,塔楼,金碧物业有限公司成都分公司,17栋
7138户,成都万科华东置业有限公司,http://haiyuehuichengwk.fang.com/,18437,29套,万科海悦汇城东区,梓州大道3139号（极地海洋公园旁）,2014年建成,,塔楼,成都万科物业管理有限公司,26栋
1294户,成都森宇实业集团有限公司,http://yinyuehuayuanfh.fang.com/,12329,0套,府河音乐花园,新希望大道123号,2001年建成,,板楼,小区物业,73栋
2914户,成都双流和骏置业有限公司,http://konggangguojicheng028.fang.com/,11684,1套,空港国际城,双流县大件路白家段280号,2013年建成,,板塔结合,成都嘉宝物业管理公司,6栋
1275户,四川虹瑶房地产开发有限公司,http://kangqiaopinshang.fang.com/,13505,30套,康桥品上,锦华路一段59号,2009年建成,,板楼,成都市物业管理协会,5栋
9户,"成都三佳房地产有限公司 , 四川国坤投资有限公司",http://jueyuebandao.fang.com/,15183,0套,蓝山国际爵悦半岛,南延线簏山大道旁边,2011年建成,,"联排,双拼",岷山酒店管理公司,2栋
1942户,嘉里置业（成都）有限公司,http://yasongjudc.fang.com/,23141,231套,雅颂居一期,荣华北路299号,2012年建成,,板楼,嘉里建设管理（上海）有限公司成都分公司,8栋
4625户,成都东骏房地产开发有限公司,http://hujingwandj.fang.com/esf/,13293,25套,东骏湖景湾,马超东路555号（川音旁）,2015-01-30,,"板楼,塔楼",成都湖景湾物业有限公司,66栋
518户,四川招港置业有限公司,http://qinglongxiaoqu028.fang.com/,9317,4套,青龙小区,云龙路100号,2000年建成,,板楼,小区物业,12栋
4863户,成都郫县蓝光和骏置业有限公司,http://xingfumantinglg.fang.com/,15569,4套,蓝光幸福满庭,城西犀浦地铁口（成灌路与犀安路交汇处）,2014年建成,,板塔结合,成都嘉宝管理顾问有限公司,17栋
950户,四川华强房地产开发有限公司,http://konggangshouzuo.fang.com/,12804,43套,空港首座,西航港四圣店（西南民族大学旁）,2013年建成,,板塔结合,成都盛景物业管理有限公司,7栋
2704户,四川华夏军安建设有限公司.,http://junanweishihuayuan.fang.com/,15626,119套,军安卫士花园,中和二街66号,2013年建成,,板楼,华夏物业,10栋
93户,成都万华房地产开发有限公司,http://xiangxidi.fang.com/,27116,1套,麓山国际香溪堤,麓山大道二段6号,2008年建成,,独栋,成都麓山物业管理有限公司,93栋
2470户,成都建信奥林匹克投资置业有限公司,http://aolinpikehuayuanjx.fang.com/,10713,51套,建信奥林匹克花园,光华大道三段336号,2006年建成,,板楼,成都建信奥林匹克物业管理公司,35栋
2806户,双流邦泰置业有限公司,http://huafugongguanbt.fang.com/,12705,1套,邦泰华府公馆,天府新区双华路五段(四川现代职业技术学院对面),2016年建成,,板楼,邦泰物业服务有限公司,12栋
2820户,成都兴光华城市建设有限公司,http://guanghuabilin.fang.com/,20178,6套,光华碧邻,光华西二路126号,2013年建成,,板塔结合,四川诚亿物业管理有限公司,10栋
4122户,成都招商北城房地产有限公司,http://yonghuafuzs.fang.com/,19702,79套,招商雍华府,双荆路6号,2012年建成,,塔楼,招商局物业管理有限公司,22栋
1248户,成都蜀都银泰置业有限公司,http://shuduzhongxin.fang.com/,16356,5套,蜀都中心一期,德赛一街138号（天府大道新会展对面）,2014年建成,,板楼,第一太平戴维斯,3栋
576户,中海兴业（成都）发展有限公司,http://zhgjsqbl.fang.com/,17845,28套,中海国际社区碧林,汇川街599号,2008年建成,,板楼,成都中海物业管理有限公司,17栋
168户,永立集团通瑞地产,http://yonglilongdi.fang.com/esf/,14198,0套,永立龙邸,二环路与府青路交汇处（原512建材市场旁）,2016-12-31,,塔楼,四川通瑞投资有限责任公司,2栋
3720户,郫县三利投资有限公司,http://guojichenghqgj.fang.com/,9948,29套,华侨凤凰国际城,望丛西路299号,2015年建成,,"板楼,塔楼",浩佳物业公司,15栋
3348户,四川华宇业昊房地产开发有限公司,http://tianfuhuachenghy.fang.com/,11136,38套,华宇天府花城,郫筒镇南北大道侧,2014年建成,,板塔结合,重庆华宇物业服务有限公司成都分公司,14栋
2846户,成都森宇实业集团有限公司,http://hanlinshangdao.fang.com/,14252,235套,翰林上岛,临港路三段8号（紧邻西南民族大学新校区）,2008年建成,,板楼,森宇物业,9栋
2248户,成都国奥置业有限公司,http://chengduguoaocun.fang.com/,14244,25套,成都国奥村,双楠大道航都大街99号（白衣上街）,2014年建成,,板楼,重庆国奥村物业服务有限公司成都分公司,28栋
2102户,四川南欣房地产开发有限公司,http://bihualiguojicheng.fang.com/,19744,120套,比华利国际城一期,锦江区佳宏路220号,2011年建成,,塔楼,佳宏物业,15栋
1922户,中海信和（成都）物业发展有限公司,http://zhgjsqcj.fang.com/2/,17953,87套,中海国际社区橙郡二期,蓝岸街59号,2007年建成,,塔楼,中海物业管理公司,5栋
1034户,圣沅房产,http://chengduhouhuayuan.fang.com/,14674,38套,成都后花园二期,国宁东路991号,2005年建成,,板塔结合,成都圣沅物业,12栋
1584户,成都荣盛伟业房地产开发有限公司,http://xiangxielantingrs.fang.com/,18453,10套,荣盛香榭兰庭,东2.5环锦绣大道,2015年建成,,塔楼,廊坊荣盛物业服务有限公司,7栋
570户,成都市青南房地产开发有限公司,http://qingnanmeiwan.fang.com/,16863,17套,青南美湾,海昌北路（极地海洋公园附近）,2015年建成,,塔楼,成都双流华兴住宅物业发展有限公司,5栋
2232户,成都市瑞泰华实业有限公司,http://shihaojiabai.fang.com/,10055,60套,世豪嘉柏,武科东二路460号,2014年建成,,塔楼,瑞泰华物业,8栋
1519户,成都荣盛房地产开发有限公司,http://huayuchengrs.fang.com/,22849,50套,荣盛花语城,青羊区光华东一路75号,2014年建成,,塔楼,荣盛物业,5栋
7735户,四川中房鸿都汇友置业有限公司,http://yiheyaju.fang.com/,16686,65套,颐和雅居,晋阳路218号,2006年建成,,塔楼,中房物业管理,3栋
2499户,成都双流富豪实业有限公司,http://guojichenglg.fang.com/,17519,43套,领馆国际城,红星路南延线与领馆大道交汇处（第三大领事馆区旁）,2014年建成,,板塔结合,成都双流百信物业管理有限责任公司,11栋
87户,成都万华房地产开发有限公司,http://yuelinhu.fang.com/,44778,0套,麓山国际悦林湖,麓山大道二段6号,2010年建成,,独栋,成都麓山物业管理有限公司,86栋
3286户,滕王阁地产,http://ludaoguojishequ028.fang.com/3/,23373,96套,鹭岛国际三期,鹭岛路36号,2009年建成,,板楼,成都腾王阁物业管理有限公司,7栋
1462户,成都佳兆业投资有限公司,http://weidengjunjzy.fang.com/,14603,22套,佳兆业威登郡,双流县航港路1313号,2013年建成,,塔楼,成都佳兆业物业管理公司,24栋
1296户,成都市华东房地产开发有限公司,http://xixianyangguang.fang.com/,15132,10套,西线阳光,黄金路9号,2007年建成,,板楼,成都家园物业管理公司,7栋
546户,成都市景发投资有限公司,http://jingmaomingdu.fang.com/3/,12139,0套,景茂名都三期,东升街道迎春桥社区（航都大道和商都路交汇）,2015年建成,,塔楼,景灿物业公司,4栋
1723户,成都俊发房地产开发有限责任公司,http://shiguangjunyuan.fang.com/,22006,73套,时光俊园,青羊区光华西三路30号,2013年建成,,"塔楼,板塔结合",俊发物业,8栋
486户,四川星慧投资,http://shujunbieshu.fang.com/,17585,0套,蜀郡别墅,华府大道518号,2012年建成,,"联排,叠拼",中铁瑞城物业,57栋
5008户,成都世茂置业有限公司,http://shimaocheng.fang.com/4/,15257,25套,世茂城四期,天鹅西湖南路6号,2015年建成,,塔楼,世茂物业,17栋
1385户,华润置地（成都）有限公司,http://feicuichenghr.fang.com/,30547,53套,翡翠城,华润路1号（东湖国际旁边）,2012年建成,,塔楼,华润置地物业,17栋
3337户,保利华阳投资有限公司,http://baoliyeyu028.fang.com/,17221,22套,保利叶语,华府大道三段（双华路与华府大道交汇处）,2016年建成,,塔楼,保利物业,29栋
832户,成都润成投资有限公司,http://tianfumeian.fang.com/,17398,3套,天府美岸,南湖风景区南岸河滨路中段(二江寺水文化主题游园旁),2015年建成,,板塔结合,长城物业集团股份有限公司,5栋
1530户,保利地产,http://baihehuayuanbl028.fang.com/,29543,69套,保利百合花园,高新区富华北路（成都七中旁）,2014年建成,,板塔结合,保利物业,8栋
240户,成都新业置业有限公司,http://059596.fang.com/,9861,0套,蓝泊湾,牧马山（长桥郡旁）,2013年建成,,联排,四川瑞信物业有限公司,40栋
2628户,成都市三和房地产开发有限责任公司,http://binghehuayuanhy.fang.com/,13725,163套,华阳滨河花园,华阳伏龙路二段117号,2005年建成,,板楼,成都三和锦阳物业有限公司,56栋
20户,龙湖地产,http://xiaoyuanqingchenglh.fang.com/esf/,18875,0套,龙湖小院青城,青城山大三路2号,2012-01-01,,"独栋,叠拼",成都龙湖物业服务有限公司,5栋
282户,成都郫县蓝光和骏置业有限公司,http://gongyuanyuefulg.fang.com/,14726,0套,蓝光公园悦府,区金牛大道金泉路,2017年建成,,"板楼,塔楼",蓝光嘉宝物业服务公司,4栋
1606户,成都万华房地产开发有限公司,http://yunxitails.fang.com/,18809,45套,麓山国际社区云曦台,人民南路南延线麓山大道二段六号（麓山1号内）,2015年建成,,板楼,成都麓山物业管理有限公司,7栋
1446户,成都万科置业有限公司,http://meilizhichengwk028.fang.com/3/,21282,71套,万科魅力之城三期,万科南街2号,2008年建成,,板塔结合,成都万科物业服务有限公司,35栋
